# Total Phase Data Center(tm) v6.73
# (c) 2005-2017 Total Phase, Inc.
# www.totalphase.com
#
# Sun Jan 21 03:16:11 2018
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
0,,0,0:00.000.000,,,,,,Capture started (Aggregate),[Sun Jan 21 03:10:04 2018]
0,,1,0:00.000.000,,,,,,<Host disconnected>,
0,,2,0:07.556.120,,,,,,<Host connected>,
0,,3,0:07.561.657,,,,,,<Host disconnected>,
0,,4,0:07.565.191,,,,,,<Host connected>,
0,FS,5,0:09.280.766,,,,,,<Full-speed>,
0,FS,6,0:09.283.766,112.277.683 ms,,,,,<Suspend>,
0,FS,7,0:09.396.044,55.006.583 ms,,,,,<Reset> / <Chirp J> / <Tiny J>,
0,FS,8,0:09.451.050,,,,,,<Full-speed>,
0,FS,9,0:09.452.015,65.009.833 ms,,,,,[66 SOF],[Frames: 274 - 339] 
0,FS,10,0:09.517.028,80.416 us,18 B,,00,00,Get Device Descriptor,Index=0 Length=64
1,FS,11,0:09.517.028,12.666 us,8 B,,00,00,   SETUP txn,80 06 00 01 00 00 40 00
2,FS,12,0:09.517.028,2.083 us,3 B,,00,00,      SETUP packet,2D 00 10
2,FS,13,0:09.517.031,7.416 us,11 B,,00,00,      DATA0 packet,C3 80 06 00 01 00 00 40 00 DD 94
2,FS,14,0:09.517.040,750 ns,1 B,,00,00,      ACK packet,D2
1,FS,15,0:09.517.053,41.500 us,18 B,,00,00,   IN txn   [2 POLL],12 01 00 02 EF 02 01 40 28 0D 04 02 00 10 01 02 03 01
2,FS,16,0:09.517.053,17.750 us,,,00,00,      [2 IN-NAK],
2,FS,17,0:09.517.075,2.083 us,3 B,,00,00,      IN packet,69 00 10
2,FS,18,0:09.517.078,14.083 us,21 B,,00,00,      DATA1 packet,4B 12 01 00 02 EF 02 01 40 28 0D 04 02 00 10 01 02 03 01 E3 74
2,FS,19,0:09.517.093,750 ns,1 B,,00,00,      ACK packet,D2
1,FS,20,0:09.517.101,7.333 us,0 B,,00,00,   OUT txn,
2,FS,21,0:09.517.101,2.083 us,3 B,,00,00,      OUT packet,E1 00 10
2,FS,22,0:09.517.105,2.083 us,3 B,,00,00,      DATA1 packet,4B 00 00
2,FS,23,0:09.517.108,750 ns,1 B,,00,00,      ACK packet,D2
0,FS,24,0:09.518.023,2.083 us,,,,,[1 SOF],[Frame: 340] 
0,FS,25,0:09.518.119,55.006.600 ms,,,,,<Reset> / <Chirp J> / <Tiny J>,
0,FS,26,0:09.573.126,,,,,,<Full-speed>,
0,FS,27,0:09.574.030,62.009.416 ms,,,,,[63 SOF],[Frames: 396 - 458] 
0,FS,28,0:09.636.042,54.333 us,0 B,,00,00,Set Address,Address=02
1,FS,29,0:09.636.042,12.666 us,8 B,,00,00,   SETUP txn,00 05 02 00 00 00 00 00
2,FS,30,0:09.636.042,2.083 us,3 B,,00,00,      SETUP packet,2D 00 10
2,FS,31,0:09.636.046,7.416 us,11 B,,00,00,      DATA0 packet,C3 00 05 02 00 00 00 00 00 EB 16
2,FS,32,0:09.636.054,750 ns,1 B,,00,00,      ACK packet,D2
1,FS,33,0:09.636.067,29.583 us,0 B,,00,00,   IN txn   [2 POLL],
2,FS,34,0:09.636.067,17.916 us,,,00,00,      [2 IN-NAK],
2,FS,35,0:09.636.089,2.083 us,3 B,,00,00,      IN packet,69 00 10
2,FS,36,0:09.636.093,2.083 us,3 B,,00,00,      DATA1 packet,4B 00 00
2,FS,37,0:09.636.096,750 ns,1 B,,00,00,      ACK packet,D2
0,FS,38,0:09.637.037,29.005.500 ms,,,,,[30 SOF],[Frames: 459 - 488] 
0,FS,39,0:09.666.046,88.833 us,18 B,,02,00,Get Device Descriptor,Index=0 Length=18
1,FS,40,0:09.666.046,12.583 us,8 B,,02,00,   SETUP txn,80 06 00 01 00 00 12 00
2,FS,41,0:09.666.046,2.083 us,3 B,,02,00,      SETUP packet,2D 02 A8
2,FS,42,0:09.666.049,7.416 us,11 B,,02,00,      DATA0 packet,C3 80 06 00 01 00 00 12 00 E0 F4
2,FS,43,0:09.666.058,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,44,0:09.666.070,49.916 us,18 B,,02,00,   IN txn   [3 POLL],12 01 00 02 EF 02 01 40 28 0D 04 02 00 10 01 02 03 01
2,FS,45,0:09.666.070,26.250 us,,,02,00,      [3 IN-NAK],
2,FS,46,0:09.666.101,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,47,0:09.666.104,14.083 us,21 B,,02,00,      DATA1 packet,4B 12 01 00 02 EF 02 01 40 28 0D 04 02 00 10 01 02 03 01 E3 74
2,FS,48,0:09.666.119,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,49,0:09.666.127,7.333 us,0 B,,02,00,   OUT txn,
2,FS,50,0:09.666.127,2.083 us,3 B,,02,00,      OUT packet,E1 02 A8
2,FS,51,0:09.666.131,2.083 us,3 B,,02,00,      DATA1 packet,4B 00 00
2,FS,52,0:09.666.134,750 ns,1 B,,02,00,      ACK packet,D2
0,FS,53,0:09.667.041,2.083 us,,,,,[1 SOF],[Frame: 489] 
0,FS,54,0:09.667.388,51.416 us,0 B,,02,00,Control Transfer (STALL),Index=0 Length=10
1,FS,55,0:09.667.388,12.666 us,8 B,,02,00,   SETUP txn,80 06 00 06 00 00 0A 00
2,FS,56,0:09.667.388,2.083 us,3 B,,02,00,      SETUP packet,2D 02 A8
2,FS,57,0:09.667.392,7.416 us,11 B,,02,00,      DATA0 packet,C3 80 06 00 06 00 00 0A 00 5F 34
2,FS,58,0:09.667.400,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,59,0:09.667.413,26.833 us,,,02,00,   IN txn (STALL)   [2 POLL],
2,FS,60,0:09.667.413,17.916 us,,,02,00,      [2 IN-NAK],
2,FS,61,0:09.667.436,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,62,0:09.667.439,750 ns,1 B,,02,00,      STALL packet,1E
0,FS,63,0:09.668.041,2.083 us,,,,,[1 SOF],[Frame: 490] 
0,FS,64,0:09.668.167,50.916 us,0 B,,02,00,Control Transfer (STALL),Index=0 Length=10
1,FS,65,0:09.668.167,12.750 us,8 B,,02,00,   SETUP txn,80 06 00 06 00 00 0A 00
2,FS,66,0:09.668.167,2.166 us,3 B,,02,00,      SETUP packet,2D 02 A8
2,FS,67,0:09.668.170,7.416 us,11 B,,02,00,      DATA0 packet,C3 80 06 00 06 00 00 0A 00 5F 34
2,FS,68,0:09.668.179,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,69,0:09.668.192,26.250 us,,,02,00,   IN txn (STALL)   [2 POLL],
2,FS,70,0:09.668.192,17.750 us,,,02,00,      [2 IN-NAK],
2,FS,71,0:09.668.214,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,72,0:09.668.217,750 ns,1 B,,02,00,      STALL packet,1E
0,FS,73,0:09.669.041,2.083 us,,,,,[1 SOF],[Frame: 491] 
0,FS,74,0:09.669.161,51.333 us,0 B,,02,00,Control Transfer (STALL),Index=0 Length=10
1,FS,75,0:09.669.161,12.666 us,8 B,,02,00,   SETUP txn,80 06 00 06 00 00 0A 00
2,FS,76,0:09.669.161,2.083 us,3 B,,02,00,      SETUP packet,2D 02 A8
2,FS,77,0:09.669.164,7.416 us,11 B,,02,00,      DATA0 packet,C3 80 06 00 06 00 00 0A 00 5F 34
2,FS,78,0:09.669.173,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,79,0:09.669.185,26.833 us,,,02,00,   IN txn (STALL)   [2 POLL],
2,FS,80,0:09.669.185,17.833 us,,,02,00,      [2 IN-NAK],
2,FS,81,0:09.669.208,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,82,0:09.669.211,750 ns,1 B,,02,00,      STALL packet,1E
0,FS,83,0:09.670.041,2.083 us,,,,,[1 SOF],[Frame: 492] 
0,FS,84,0:09.670.241,83.083 us,9 B,,02,00,Get Configuration Descriptor,Index=0 Length=9
1,FS,85,0:09.670.241,12.666 us,8 B,,02,00,   SETUP txn,80 06 00 02 00 00 09 00
2,FS,86,0:09.670.241,2.083 us,3 B,,02,00,      SETUP packet,2D 02 A8
2,FS,87,0:09.670.245,7.416 us,11 B,,02,00,      DATA0 packet,C3 80 06 00 02 00 00 09 00 AE 04
2,FS,88,0:09.670.253,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,89,0:09.670.266,44.000 us,9 B,,02,00,   IN txn   [3 POLL],09 02 82 00 04 01 00 80 FA
2,FS,90,0:09.670.266,26.250 us,,,02,00,      [3 IN-NAK],
2,FS,91,0:09.670.297,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,92,0:09.670.300,8.183 us,12 B,,02,00,      DATA1 packet,4B 09 02 82 00 04 01 00 80 FA AD 31
2,FS,93,0:09.670.309,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,94,0:09.670.317,7.333 us,0 B,,02,00,   OUT txn,
2,FS,95,0:09.670.317,2.083 us,3 B,,02,00,      OUT packet,E1 02 A8
2,FS,96,0:09.670.321,2.083 us,3 B,,02,00,      DATA1 packet,4B 00 00
2,FS,97,0:09.670.324,750 ns,1 B,,02,00,      ACK packet,D2
0,FS,98,0:09.671.041,2.083 us,,,,,[1 SOF],[Frame: 493] 
0,FS,99,0:09.671.131,272.333 us,130 B,,02,00,Get Configuration Descriptor,Index=0 Length=130
1,FS,100,0:09.671.131,12.666 us,8 B,,02,00,   SETUP txn,80 06 00 02 00 00 82 00
2,FS,101,0:09.671.131,2.083 us,3 B,,02,00,      SETUP packet,2D 02 A8
